action_name,class,method,result_name,result_type,result_value,resolved_jsp
"getProductAdd","pharmacy","getProductAdd","success","tiles","product-add","/Pharmacy/ProductAddition.jsp?main=15&amp;sub=42"
"createProduct","pharmacy","createProduct","success","tiles","product-create","/HMS Android/ProductMessage.jsp?main=15&amp;sub=5"
"getDrugByNamerack","pharmacy","getDrugByNamerack","","","",""
"getWattDetails","pharmacy","getWattDetails","success","tiles","getWattDetails",""
"addWattDetails","pharmacy","addWattDetails","success","tiles","getWattDetails",""
"getWattEditDetails","pharmacy","getWattEditDetails","success","tiles","getWattDetails",""
"updateWattDetails","pharmacy","updateWattDetails","success","tiles","getWattDetails",""
"deleteWattDetails","pharmacy","deleteWattDetails","success","tiles","getWattDetails",""
"getReturnReport","pharmacy","getReturnReport","success","tiles","getReturnReport","/Pharmacy/ReturnReport.jsp?main=15&amp;sub=18"
"getReturnReportByDate","pharmacy","getSalesReturnReport","success","tiles","getReturnReport","/Pharmacy/ReturnReport.jsp?main=15&amp;sub=18"
"getQuatationdetails","pharmacy","getQuatationdetails","success","tiles","getQuatationdetails","/Pharmacy/QuatationForEstimation.jsp?main=15&amp;sub=19"
"getItemWiseSalesReportByLocation","pharmacy","getItemWiseSalesReportByLocation","success","tiles","getItemWiseSalesReport","/Pharmacy/ItemWiseSalesReport.jsp?main=28&amp;sub=30"
"getDrugsDetailsForQuatation","pharmacy","getDrugsDetailsForQuatation","success","tiles","getQuatationdetails","/Pharmacy/QuatationForEstimation.jsp?main=15&amp;sub=19"
"deleteQuotationDrug","pharmacy","deleteQuotationDrug","success","tiles","getQuatationdetails","/Pharmacy/QuatationForEstimation.jsp?main=15&amp;sub=19"
"addDrugsForQuatation","pharmacy","addDrugsForQuatation","success","tiles","getQuatationdetails","/Pharmacy/QuatationForEstimation.jsp?main=15&amp;sub=19"
"ConfirmQuotationDetails","pharmacy","ConfirmQuotationDetails","success","tiles","ConfirmQuotationDetails","/Pharmacy/QuotationReceipt.jsp?main=15&amp;sub=19"
"getQuatationReport","pharmacy","getQuatationReport","success","tiles","getQuatationReport","/Pharmacy/QuotationReport.jsp?main=15&amp;sub=20"
